mass_A
t;x;y
1.951124444E1;5.550238003E-1;3.272254535E-1
1.951538889E1;5.521672259E-1;3.271532826E-1
1.951954444E1;5.494643904E-1;3.271262157E-1
1.952370000E1;5.465484517E-1;3.271611284E-1
1.952786667E1;5.436372239E-1;3.272798988E-1
1.953202222E1;5.408702434E-1;3.272703335E-1
1.953614444E1;5.380647085E-1;3.275146798E-1
1.954030000E1;5.352388958E-1;3.275155289E-1
1.954445556E1;5.322995629E-1;3.275016512E-1
1.954861111E1;5.295148018E-1;3.274930925E-1
1.955277778E1;5.265722745E-1;3.274679412E-1
1.955691111E1;5.236537828E-1;3.274085599E-1
1.956106667E1;5.208650237E-1;3.273286384E-1
1.956525556E1;5.180351312E-1;3.272817537E-1
1.956937778E1;5.150778913E-1;3.272342353E-1
1.957355556E1;5.121675836E-1;3.272770772E-1
1.957768889E1;5.093023157E-1;3.274505118E-1
1.958183333E1;5.063748668E-1;3.276681425E-1
1.958598889E1;5.034893642E-1;3.276973563E-1
1.959015556E1;5.008058739E-1;3.276687172E-1
1.959428889E1;4.976656026E-1;3.276332838E-1
1.959844444E1;4.947920415E-1;3.276200865E-1
1.960260000E1;4.918176517E-1;3.275808454E-1
1.960676667E1;4.888706513E-1;3.275267498E-1
1.961091111E1;4.860962400E-1;3.274390113E-1
1.961505556E1;4.832374369E-1;3.274105558E-1
1.961921111E1;4.802618069E-1;3.273705200E-1
1.962336667E1;4.774094339E-1;3.274090090E-1
1.962752222E1;4.744404941E-1;3.273831410E-1
1.963167778E1;4.714853269E-1;3.273311413E-1
1.963582222E1;4.685998464E-1;3.272146012E-1
1.963997778E1;4.656759920E-1;3.271509626E-1
1.964414444E1;4.626818226E-1;3.271361174E-1
1.964827778E1;4.595800110E-1;3.271219307E-1
1.965244444E1;4.566997427E-1;3.270182198E-1
1.965662222E1;4.537324802E-1;3.269384079E-1
1.966073333E1;4.508597065E-1;3.267595333E-1
1.966490000E1;4.480000538E-1;3.266716444E-1
1.966905556E1;4.450626404E-1;3.267049634E-1
1.967320000E1;4.420436694E-1;3.266624133E-1
1.967734444E1;4.391522952E-1;3.266572567E-1
1.968150000E1;4.362163861E-1;3.265847903E-1
1.968566667E1;4.332118683E-1;3.264208564E-1
1.968982222E1;4.303436648E-1;3.263454491E-1
1.969396667E1;4.273391059E-1;3.262723557E-1
1.969812222E1;4.243757707E-1;3.262397218E-1
1.970226667E1;4.212883002E-1;3.260960752E-1
1.970642222E1;4.184092613E-1;3.260025801E-1
1.971057778E1;4.152935265E-1;3.259006176E-1
1.971476667E1;4.123783941E-1;3.258354718E-1
1.971888889E1;4.093162950E-1;3.258326776E-1
1.972303333E1;4.063001045E-1;3.258521376E-1
1.972718889E1;4.032196155E-1;3.258421423E-1
1.973134444E1;4.003268833E-1;3.257099078E-1
1.973548889E1;3.973121595E-1;3.255990054E-1
1.973965556E1;3.943404991E-1;3.255052985E-1
1.974381111E1;3.914178873E-1;3.254276472E-1
1.974794444E1;3.882652399E-1;3.253812165E-1
1.975212222E1;3.852757630E-1;3.252683074E-1
1.975626667E1;3.822125632E-1;3.251545182E-1
1.976041111E1;3.794053925E-1;3.250727414E-1
1.976456667E1;3.762756034E-1;3.250247326E-1
1.976872222E1;3.733067489E-1;3.250294079E-1
1.977287778E1;3.702104740E-1;3.249840313E-1
1.977703333E1;3.672374916E-1;3.249271238E-1
1.978120000E1;3.642125389E-1;3.248237388E-1
1.978532222E1;3.612241029E-1;3.247347388E-1
1.978948889E1;3.581899400E-1;3.246811010E-1
1.979363333E1;3.551129500E-1;3.245896009E-1
1.979777778E1;3.518844612E-1;3.244989714E-1
1.980194444E1;3.490326656E-1;3.244198347E-1
1.980608889E1;3.458735800E-1;3.243432597E-1
1.981027778E1;3.430190533E-1;3.242715372E-1
1.981440000E1;3.397995824E-1;3.242205299E-1
1.981855556E1;3.368727112E-1;3.242142577E-1
1.982271111E1;3.337537174E-1;3.241653351E-1
1.982685556E1;3.307828505E-1;3.240951990E-1
1.983101111E1;3.277605341E-1;3.240046989E-1
1.983516667E1;3.247930572E-1;3.239125164E-1
1.983931111E1;3.217274445E-1;3.238511570E-1
1.984347778E1;3.187213094E-1;3.237749456E-1
1.984762222E1;3.155319715E-1;3.237134870E-1
1.985177778E1;3.126377244E-1;3.236257772E-1
1.985593333E1;3.094411492E-1;3.235512333E-1
